dev_eui,building_uuid
24e124538e381562,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e384830,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e508398,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e508334,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f071582,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f076360,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e357100,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e021374,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f073990,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e302671,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e357045,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e507672,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e422612,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f079888,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124617e420740,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e507631,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e425743,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e381675,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e305923,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f071377,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e423347,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e384722,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e381939,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e357056,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e388031,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e508338,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e424867,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f031558,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e382165,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e425120,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e507680,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f034090,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e420228,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124716f015474,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e306682,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509961,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f071476,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e385056,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f031407,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124136f112413,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e507637,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f077455,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f076527,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509990,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f076422,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e508477,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f031070,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509998,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f077497,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e508514,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f077415,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f030519,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124617e420970,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e021536,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e381708,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e385039,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f077288,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124716f015460,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f031154,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f031503,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f071386,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f036398,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124716f015420,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e357099,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f076483,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f031631,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e508512,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124136f112083,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f031250,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e507688,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e301998,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e508454,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509832,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e021359,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f074013,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509946,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
