SITEUUID,DEVICEUUID,STAMP,DEVICE_TYPE,DEVICE_ID,DATA,DATECREATED,SERVER_SOURCE
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T01:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.5, ""accumulated_nanoampere_hour"": 1266413101839, ""minimum_milliampere"": 1374.0872, ""average_milliampere"": 1475.00321881944, ""maximum_milliampere"": 1642.0626, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-17T00:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.5, ""accumulated_nanoampere_hour"": 1264931652978, ""minimum_milliampere"": 1394.0177, ""average_milliampere"": 1490.98797486111, ""maximum_milliampere"": 1611.3499, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T23:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -57.0, ""accumulated_nanoampere_hour"": 1263432274478, ""minimum_milliampere"": 1393.0487, ""average_milliampere"": 1484.89124194444, ""maximum_milliampere"": 1613.9812, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T22:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -58.5, ""accumulated_nanoampere_hour"": 1261932836464, ""minimum_milliampere"": 1412.7117, ""average_milliampere"": 1486.00584083333, ""maximum_milliampere"": 1615.5344, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T21:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -61.0, ""accumulated_nanoampere_hour"": 1260438693949, ""minimum_milliampere"": 1377.7323, ""average_milliampere"": 1479.23933125, ""maximum_milliampere"": 1598.8513, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T20:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -62.5, ""accumulated_nanoampere_hour"": 1258953650228, ""minimum_milliampere"": 1396.368, ""average_milliampere"": 1472.99552097222, ""maximum_milliampere"": 1605.7134, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T19:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -63.0, ""accumulated_nanoampere_hour"": 1257467725711, ""minimum_milliampere"": 1353.5781, ""average_milliampere"": 1477.60966416667, ""maximum_milliampere"": 1594.8646, ""supply_voltage"": 5, ""temperature_celsius"": 22.5}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T18:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -64.0, ""accumulated_nanoampere_hour"": 1255990919373, ""minimum_milliampere"": 1398.4387, ""average_milliampere"": 1480.62755743056, ""maximum_milliampere"": 1612.9053, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T17:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -64.5, ""accumulated_nanoampere_hour"": 1254509811601, ""minimum_milliampere"": 1311.5986, ""average_milliampere"": 1461.82714555556, ""maximum_milliampere"": 1607.274, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T16:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -64.5, ""accumulated_nanoampere_hour"": 1253058899910, ""minimum_milliampere"": 1282.7494, ""average_milliampere"": 1389.38232291667, ""maximum_milliampere"": 1518.4048, ""supply_voltage"": 4, ""temperature_celsius"": 22}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T15:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -64.0, ""accumulated_nanoampere_hour"": 1251673466052, ""minimum_milliampere"": 1282.7494, ""average_milliampere"": 1429.39370020833, ""maximum_milliampere"": 1590.3832, ""supply_voltage"": 5, ""temperature_celsius"": 22.5}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T14:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -64.0, ""accumulated_nanoampere_hour"": 1250248261544, ""minimum_milliampere"": 1326.5155, ""average_milliampere"": 1421.87072611111, ""maximum_milliampere"": 1564.3345, ""supply_voltage"": 5, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T13:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -64.5, ""accumulated_nanoampere_hour"": 1248796566595, ""minimum_milliampere"": 1365.2142, ""average_milliampere"": 1444.26282194444, ""maximum_milliampere"": 1548.4701, ""supply_voltage"": 4, ""temperature_celsius"": 23}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T12:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -65.0, ""accumulated_nanoampere_hour"": 1247379822660, ""minimum_milliampere"": 1354.5756, ""average_milliampere"": 1433.12946520833, ""maximum_milliampere"": 1536.3389, ""supply_voltage"": 5, ""temperature_celsius"": 23.5}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T11:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -65.5, ""accumulated_nanoampere_hour"": 1245945422887, ""minimum_milliampere"": 1328.4045, ""average_milliampere"": 1416.85592652778, ""maximum_milliampere"": 1524.3641, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T10:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -63.5, ""accumulated_nanoampere_hour"": 1244525122664, ""minimum_milliampere"": 1340.4031, ""average_milliampere"": 1413.31956222222, ""maximum_milliampere"": 1515.6073, ""supply_voltage"": 4, ""temperature_celsius"": 23.5}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T09:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -65.0, ""accumulated_nanoampere_hour"": 1243114583864, ""minimum_milliampere"": 1350.0106, ""average_milliampere"": 1420.058910625, ""maximum_milliampere"": 1523.3514, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T08:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -65.5, ""accumulated_nanoampere_hour"": 1241675154128, ""minimum_milliampere"": 1351.439, ""average_milliampere"": 1441.44908770833, ""maximum_milliampere"": 1575.7607, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
9f02171a-32a0-4695-a7f2-aad43528af58,7b794dd5-e29c-4851-a533-100c57dc4cff,2022-08-16T07:00:00.0000000Z,VU-HOTDROP,2,"{""rssi"": -64.0, ""accumulated_nanoampere_hour"": 1240235969466, ""minimum_milliampere"": 1290.8442, ""average_milliampere"": 1390.39796166667, ""maximum_milliampere"": 1555.4309, ""supply_voltage"": 4, ""temperature_celsius"": 24}",2000-01-01T20:00:00.0000000Z,deviaqpro
